date,holiday,anniversary
20180914,0,0
20180915,0,0
20180916,0,0
20180917,0,0
20180918,0,0
20180919,0,0
20180920,0,0
20180921,0,0
20180922,0,0
20180923,1,0
20180924,1,0
20180925,1,0
20180926,1,0
20180927,0,0
20180928,0,0
20180929,0,0
20180930,0,0
20181001,0,0
20181002,0,0
20181003,0,1
20181004,0,0
20181005,0,0
20181006,0,0
20181007,0,0
20181008,0,0
20181009,0,1
20181010,0,0
20181011,0,0
20181012,0,0
20181013,0,0
20181014,0,0
20181015,0,0
20181016,0,0
20181017,0,0
20181018,0,0
20181019,0,0
20181020,0,0
20181021,0,0
20181022,0,0
20181023,0,0
20181024,0,0
20181025,0,0
20181026,0,0
20181027,0,0
20181028,0,0
20181029,0,0
20181030,0,0
20181031,0,0
20181101,0,0
20181102,0,0
20181103,0,0
20181104,0,0
20181105,0,0
20181106,0,0
20181107,0,0
20181108,0,0
20181109,0,0
20181110,0,0
20181111,0,0
20181112,0,0
20181113,0,0
20181114,0,0
20181115,0,0
20181116,0,0
20181117,0,0
20181118,0,0
20181119,0,0
20181120,0,0
20181121,0,0
20181122,0,0
20181123,0,0
20181124,0,0
20181125,0,0
20181126,0,0
20181127,0,0
20181128,0,0
20181129,0,0
20181130,0,0
20181201,0,0
20181202,0,0
20181203,0,0
20181204,0,0
20181205,0,0
20181206,0,0
20181207,0,0
20181208,0,0
20181209,0,0
20181210,0,0
20181211,0,0
20181212,0,0
20181213,0,0
20181214,0,0
20181215,0,0
20181216,0,0
20181217,0,0
20181218,0,0
20181219,0,0
20181220,0,0
20181221,0,0
20181222,0,0
20181223,0,0
20181224,0,0
20181225,0,1
20181226,0,0
20181227,0,0
20181228,0,0
20181229,0,0
20181230,0,0
20181231,0,0
20190101,1,0
20190102,0,0
20190103,0,0
20190104,0,0
20190105,0,0
20190106,0,0
20190107,0,0
20190108,0,0
20190109,0,0
20190110,0,0
20190111,0,0
20190112,0,0
20190113,0,0
20190114,0,0
20190115,0,0
20190116,0,0
20190117,0,0
20190118,0,0
20190119,0,0
20190120,0,0
20190121,0,0
20190122,0,0
20190123,0,0
20190124,0,0
20190125,0,0
20190126,0,0
20190127,0,0
20190128,0,0
20190129,0,0
20190130,0,0
20190131,0,0
20190201,0,0
20190202,0,0
20190203,0,0
20190204,1,0
20190205,1,0
20190206,1,0
20190207,0,0
20190208,0,0
20190209,0,0
20190210,0,0
20190211,0,0
20190212,0,0
20190213,0,0
20190214,0,0
20190215,0,0
20190216,0,0
20190217,0,0
20190218,0,0
20190219,0,0
20190220,0,0
20190221,0,0
20190222,0,0
20190223,0,0
20190224,0,0
20190225,0,0
20190226,0,0
20190227,0,0
20190228,0,0
20190301,0,1
20190302,0,0
20190303,0,0
20190304,0,0
20190305,0,0
20190306,0,0
20190307,0,0
20190308,0,0
20190309,0,0
20190310,0,0
20190311,0,0
20190312,0,0
20190313,0,0
20190314,0,0
20190315,0,0
20190316,0,0
20190317,0,0
20190318,0,0
20190319,0,0
20190320,0,0
20190321,0,0
20190322,0,0
20190323,0,0
20190324,0,0
20190325,0,0
20190326,0,0
20190327,0,0
20190328,0,0
20190329,0,0
20190330,0,0
20190331,0,0
20190401,0,0
20190402,0,0
20190403,0,0
20190404,0,0
20190405,0,0
20190406,0,0
20190407,0,0
20190408,0,0
20190409,0,0
20190410,0,0
20190411,0,0
20190412,0,0
20190413,0,0
20190414,0,0
20190415,0,0
20190416,0,0
20190417,0,0
20190418,0,0
20190419,0,0
20190420,0,0
20190421,0,0
20190422,0,0
20190423,0,0
20190424,0,0
20190425,0,0
20190426,0,0
20190427,0,0
20190428,0,0
20190429,0,0
20190430,0,0
20190501,0,0
20190502,0,0
20190503,0,0
20190504,0,0
20190505,0,1
20190506,0,1
20190507,0,0
20190508,0,0
20190509,0,0
20190510,0,0
20190511,0,0
20190512,0,1
20190513,0,0
20190514,0,0
20190515,0,0
20190516,0,0
20190517,0,0
20190518,0,0
20190519,0,0
20190520,0,0
20190521,0,0
20190522,0,0
20190523,0,0
20190524,0,0
20190525,0,0
20190526,0,0
20190527,0,0
20190528,0,0
20190529,0,0
20190530,0,0
20190531,0,0
20190601,0,0
20190602,0,0
20190603,0,0
20190604,0,0
20190605,0,0
20190606,0,1
20190607,0,0
20190608,0,0
20190609,0,0
20190610,0,0
20190611,0,0
20190612,0,0
20190613,0,0
20190614,0,0
20190615,0,0
20190616,0,0
20190617,0,0
20190618,0,0
20190619,0,0
20190620,0,0
20190621,0,0
20190622,0,0
20190623,0,0
20190624,0,0
20190625,0,0
20190626,0,0
20190627,0,0
20190628,0,0
20190629,0,0
20190630,0,0
20190701,0,0
20190702,0,0
20190703,0,0
20190704,0,0
20190705,0,0
20190706,0,0
20190707,0,0
20190708,0,0
20190709,0,0
20190710,0,0
20190711,0,0
20190712,0,0
20190713,0,0
20190714,0,0
20190715,0,0
20190716,0,0
20190717,0,0
20190718,0,0
20190719,0,0
20190720,0,0
20190721,0,0
20190722,0,0
20190723,0,0
20190724,0,0
20190725,0,0
20190726,0,0
20190727,0,0
20190728,0,0
20190729,0,0
20190730,0,0
20190731,0,0
20190801,0,0
20190802,0,0
20190803,0,0
20190804,0,0
20190805,0,0
20190806,0,0
20190807,0,0
20190808,0,0
20190809,0,0
20190810,0,0
20190811,0,0
20190812,0,0
20190813,0,0
20190814,0,0
20190815,0,1
20190816,0,0
20190817,0,0
20190818,0,0
20190819,0,0
20190820,0,0
20190821,0,0
20190822,0,0
20190823,0,0
20190824,0,0
20190825,0,0
20190826,0,0
20190827,0,0
20190828,0,0
20190829,0,0
20190830,0,0
20190831,0,0
20190901,0,0
20190902,0,0
20190903,0,0
20190904,0,0
20190905,0,0
20190906,0,0
20190907,0,0
20190908,0,0
20190909,0,0
20190910,0,0
20190911,0,0
20190912,1,0
20190913,1,0
20190914,1,0
20190915,0,0
20190916,0,0
20190917,0,0
20190918,0,0
20190919,0,0
20190920,0,0
20190921,0,0
20190922,0,0
20190923,0,0
20190924,0,0
20190925,0,0
20190926,0,0
20190927,0,0
20190928,0,0
20190929,0,0
20190930,0,0
20191001,0,0
20191002,0,0
20191003,0,1
20191004,0,0
20191005,0,0
20191006,0,0
20191007,0,0
20191008,0,0
20191009,0,1
20191010,0,0
20191011,0,0
20191012,0,0
20191013,0,0
20191014,0,0
20191015,0,0
20191016,0,0
20191017,0,0
20191018,0,0
20191019,0,0
20191020,0,0
20191021,0,0
20191022,0,0
20191023,0,0
20191024,0,0
20191025,0,0
20191026,0,0
20191027,0,0
20191028,0,0
20191029,0,0
20191030,0,0
20191031,0,0
20191101,0,0
20191102,0,0
20191103,0,0
20191104,0,0
20191105,0,0
20191106,0,0
20191107,0,0
20191108,0,0
20191109,0,0
20191110,0,0
20191111,0,0
20191112,0,0
20191113,0,0
20191114,0,0
20191115,0,0
20191116,0,0
20191117,0,0
20191118,0,0
20191119,0,0
20191120,0,0
20191121,0,0
20191122,0,0
20191123,0,0
20191124,0,0
20191125,0,0
20191126,0,0
20191127,0,0
20191128,0,0
20191129,0,0
20191130,0,0
20191201,0,0
20191202,0,0
20191203,0,0
20191204,0,0
20191205,0,0
20191206,0,0
20191207,0,0
20191208,0,0
20191209,0,0
20191210,0,0
20191211,0,0
20191212,0,0
20191213,0,0
20191214,0,0
20191215,0,0
20191216,0,0
20191217,0,0
20191218,0,0
20191219,0,0
20191220,0,0
20191221,0,0
20191222,0,0
20191223,0,0
20191224,0,0
20191225,0,1
20191226,0,0
20191227,0,0
20191228,0,0
20191229,0,0
20191230,0,0
20191231,0,0
20200101,1,0
20200102,0,0
20200103,0,0
20200104,0,0
20200105,0,0
20200106,0,0
20200107,0,0
20200108,0,0
20200109,0,0
20200110,0,0
20200111,0,0
20200112,0,0
20200113,0,0
20200114,0,0
20200115,0,0
20200116,0,0
20200117,0,0
20200118,0,0
20200119,0,0
20200120,0,0
20200121,0,0
20200122,0,0
20200123,0,0
20200124,1,0
20200125,1,0
20200126,1,0
20200127,1,0
20200128,0,0
20200129,0,0
20200130,0,0
20200131,0,0
20200201,0,0
20200202,0,0
20200203,0,0
20200204,0,0
20200205,0,0
20200206,0,0
20200207,0,0
20200208,0,0
20200209,0,0
20200210,0,0
20200211,0,0
20200212,0,0
20200213,0,0
20200214,0,0
20200215,0,0
20200216,0,0
20200217,0,0
20200218,0,0
20200219,0,0
20200220,0,0
20200221,0,0
20200222,0,0
20200223,0,0
20200224,0,0
20200225,0,0
20200226,0,0
20200227,0,0
20200228,0,0
20200229,0,0
20200301,0,1
20200302,0,0
20200303,0,0
20200304,0,0
20200305,0,0
20200306,0,0
20200307,0,0
20200308,0,0
20200309,0,0
20200310,0,0
20200311,0,0
20200312,0,0
20200313,0,0
20200314,0,0
20200315,0,0
20200316,0,0
20200317,0,0
20200318,0,0
20200319,0,0
20200320,0,0
20200321,0,0
20200322,0,0
20200323,0,0
20200324,0,0
20200325,0,0
20200326,0,0
20200327,0,0
20200328,0,0
20200329,0,0
20200330,0,0
20200331,0,0
20200401,0,0
20200402,0,0
20200403,0,0
20200404,0,0
20200405,0,0
20200406,0,0
20200407,0,0
20200408,0,0
20200409,0,0
20200410,0,0
20200411,0,0
20200412,0,0
20200413,0,0
20200414,0,0
20200415,0,1
20200416,0,0
20200417,0,0
20200418,0,0
20200419,0,0
20200420,0,0
20200421,0,0
20200422,0,0
20200423,0,0
20200424,0,0
20200425,0,0
20200426,0,0
20200427,0,0
20200428,0,0
20200429,0,0
20200430,0,1
20200501,0,0
20200502,0,0
20200503,0,0
20200504,0,0
20200505,0,1
20200506,0,0
20200507,0,0
20200508,0,0
20200509,0,0
20200510,0,0
20200511,0,0
20200512,0,0
20200513,0,0
20200514,0,0
20200515,0,0
20200516,0,0
20200517,0,0
20200518,0,0
20200519,0,0
20200520,0,0
20200521,0,0
20200522,0,0
20200523,0,0
20200524,0,0
20200525,0,0
20200526,0,0
20200527,0,0
20200528,0,0
20200529,0,0
20200530,0,0
20200531,0,0
20200601,0,0
20200602,0,0
20200603,0,0
20200604,0,0
20200605,0,0
20200606,0,1
20200607,0,0
20200608,0,0
20200609,0,0
20200610,0,0
20200611,0,0
20200612,0,0
20200613,0,0
20200614,0,0
20200615,0,0
20200616,0,0
20200617,0,0
20200618,0,0
20200619,0,0
20200620,0,0
20200621,0,0
20200622,0,0
20200623,0,0
20200624,0,0
20200625,0,0
20200626,0,0
20200627,0,0
20200628,0,0
20200629,0,0
20200630,0,0
20200701,0,0
20200702,0,0
20200703,0,0
20200704,0,0
20200705,0,0
20200706,0,0
20200707,0,0
20200708,0,0
20200709,0,0
20200710,0,0
20200711,0,0
20200712,0,0
20200713,0,0
20200714,0,0
20200715,0,0
20200716,0,0
20200717,0,0
20200718,0,0
20200719,0,0
20200720,0,0
20200721,0,0
20200722,0,0
20200723,0,0
20200724,0,0
20200725,0,0
20200726,0,0
20200727,0,0
20200728,0,0
20200729,0,0
20200730,0,0
20200731,0,0
20200801,0,0
20200802,0,0
20200803,0,0
20200804,0,0
20200805,0,0
20200806,0,0
20200807,0,0
20200808,0,0
20200809,0,0
20200810,0,0
20200811,0,0
20200812,0,0
20200813,0,0
20200814,0,0
20200815,0,1
20200816,0,0
20200817,0,1
20200818,0,0
20200819,0,0
20200820,0,0
20200821,0,0
20200822,0,0
20200823,0,0
20200824,0,0
20200825,0,0
20200826,0,0
20200827,0,0
20200828,0,0
20200829,0,0
20200830,0,0
20200831,0,0
20200901,0,0
20200902,0,0
20200903,0,0
20200904,0,0
20200905,0,0
20200906,0,0
20200907,0,0
20200908,0,0
20200909,0,0
20200910,0,0
20200911,0,0
20200912,0,0
20200913,0,0
20200914,0,0
20200915,0,0
20200916,0,0
20200917,0,0
20200918,0,0
20200919,0,0
20200920,0,0
20200921,0,0
20200922,0,0
20200923,0,0
20200924,0,0
20200925,0,0
20200926,0,0
20200927,0,0
20200928,0,0
20200929,0,0
20200930,1,0
20201001,1,0
20201002,1,0
20201003,0,1
20201004,0,0
20201005,0,0
20201006,0,0
20201007,0,0
20201008,0,0
20201009,0,1
20201010,0,0
20201011,0,0
20201012,0,0
20201013,0,0
20201014,0,0
20201015,0,0
20201016,0,0
20201017,0,0
20201018,0,0
20201019,0,0
20201020,0,0
20201021,0,0
20201022,0,0
20201023,0,0
20201024,0,0
20201025,0,0
20201026,0,0
20201027,0,0
20201028,0,0
20201029,0,0
20201030,0,0
20201031,0,0
20201101,0,0
20201102,0,0
20201103,0,0
20201104,0,0
20201105,0,0
20201106,0,0
20201107,0,0
20201108,0,0
20201109,0,0
20201110,0,0
20201111,0,0
20201112,0,0
20201113,0,0
20201114,0,0
20201115,0,0
20201116,0,0
20201117,0,0
20201118,0,0
20201119,0,0
20201120,0,0
20201121,0,0
20201122,0,0
20201123,0,0
20201124,0,0
20201125,0,0
20201126,0,0
20201127,0,0
20201128,0,0
20201129,0,0
20201130,0,0
20201201,0,0
20201202,0,0
20201203,0,0
20201204,0,0
20201205,0,0
20201206,0,0
20201207,0,0
20201208,0,0
20201209,0,0
20201210,0,0
20201211,0,0
20201212,0,0
20201213,0,0
20201214,0,0
20201215,0,0
20201216,0,0
20201217,0,0
20201218,0,0
20201219,0,0
20201220,0,0
20201221,0,0
20201222,0,0
20201223,0,0
20201224,0,0
20201225,0,1
20201226,0,0
20201227,0,0
20201228,0,0
20201229,0,0
20201230,0,0
20201231,0,0
20210101,1,0
20210102,0,0
20210103,0,0
20210104,0,0
20210105,0,0
20210106,0,0
20210107,0,0
20210108,0,0
20210109,0,0
20210110,0,0
20210111,0,0
20210112,0,0
20210113,0,0
20210114,0,0
20210115,0,0
20210116,0,0
20210117,0,0
20210118,0,0
20210119,0,0
20210120,0,0
20210121,0,0
20210122,0,0
20210123,0,0
20210124,0,0
20210125,0,0
20210126,0,0
20210127,0,0
20210128,0,0
20210129,0,0
20210130,0,0
20210131,0,0
20210201,0,0
20210202,0,0
20210203,0,0
20210204,0,0
20210205,0,0
20210206,0,0
20210207,0,0
20210208,0,0
20210209,0,0
20210210,0,0
20210211,1,0
20210212,1,0
20210213,1,0
20210214,0,0
20210215,0,0
20210216,0,0
20210217,0,0
20210218,0,0
20210219,0,0
20210220,0,0
20210221,0,0
20210222,0,0
20210223,0,0
20210224,0,0
20210225,0,0
20210226,0,0
20210227,0,0
20210228,0,0
20210301,0,1
20210302,0,0
20210303,0,0
20210304,0,0
20210305,0,0
20210306,0,0
20210307,0,0
20210308,0,0
20210309,0,0
20210310,0,0
20210311,0,0
20210312,0,0
20210313,0,0
20210314,0,0
20210315,0,0
20210316,0,0
20210317,0,0
20210318,0,0
20210319,0,0
20210320,0,0
20210321,0,0
20210322,0,0
20210323,0,0
20210324,0,0
20210325,0,0
20210326,0,0
20210327,0,0
20210328,0,0
20210329,0,0
20210330,0,0
20210331,0,0
20210401,0,0
20210402,0,0
20210403,0,0
20210404,0,0
20210405,0,0
20210406,0,0
20210407,0,0
20210408,0,0
20210409,0,0
20210410,0,0
20210411,0,0
20210412,0,0
20210413,0,0
20210414,0,0
20210415,0,0
20210416,0,0
20210417,0,0
20210418,0,0
20210419,0,0
20210420,0,0
20210421,0,0
20210422,0,0
20210423,0,0
20210424,0,0
20210425,0,0
20210426,0,0
20210427,0,0
20210428,0,0
20210429,0,0
20210430,0,0
20210501,0,0
20210502,0,0
20210503,0,0
20210504,0,0
20210505,0,1
20210506,0,0
20210507,0,0
20210508,0,0
20210509,0,0
20210510,0,0
20210511,0,0
20210512,0,0
20210513,0,0
20210514,0,0
20210515,0,0
20210516,0,0
20210517,0,0
20210518,0,0
20210519,0,1
20210520,0,0
20210521,0,0
20210522,0,0
20210523,0,0
20210524,0,0
20210525,0,0
20210526,0,0
20210527,0,0
20210528,0,0
20210529,0,0
20210530,0,0
20210531,0,0
20210601,0,0
20210602,0,0
20210603,0,0
20210604,0,0
20210605,0,0
20210606,0,1
20210607,0,0
20210608,0,0
20210609,0,0
20210610,0,0
20210611,0,0
20210612,0,0
20210613,0,0
20210614,0,0
20210615,0,0
20210616,0,0
20210617,0,0
20210618,0,0
20210619,0,0
20210620,0,0
20210621,0,0
20210622,0,0
20210623,0,0
20210624,0,0
20210625,0,0
20210626,0,0
20210627,0,0
20210628,0,0
20210629,0,0
20210630,0,0
20210701,0,0
20210702,0,0
20210703,0,0
20210704,0,0
20210705,0,0
20210706,0,0
20210707,0,0
20210708,0,0
20210709,0,0
20210710,0,0
20210711,0,0
20210712,0,0
20210713,0,0
20210714,0,0
20210715,0,0
20210716,0,0
20210717,0,0
20210718,0,0
20210719,0,0
20210720,0,0
20210721,0,0
20210722,0,0
20210723,0,0
20210724,0,0
20210725,0,0
20210726,0,0
20210727,0,0
20210728,0,0
20210729,0,0
20210730,0,0
20210731,0,0
20210801,0,0
20210802,0,0
20210803,0,0
20210804,0,0
20210805,0,0
20210806,0,0
20210807,0,0
20210808,0,0
20210809,0,0
20210810,0,0
20210811,0,0
20210812,0,0
20210813,0,0
20210814,0,0
20210815,0,1
20210816,0,1
20210817,0,0
20210818,0,0
20210819,0,0
20210820,0,0
20210821,0,0
20210822,0,0
20210823,0,0
20210824,0,0
20210825,0,0
20210826,0,0
20210827,0,0
20210828,0,0
20210829,0,0
20210830,0,0
20210831,0,0
20210901,0,0
20210902,0,0
20210903,0,0
20210904,0,0
20210905,0,0
20210906,0,0
20210907,0,0
20210908,0,0
20210909,0,0
20210910,0,0
20210911,0,0
20210912,0,0
20210913,0,0
20210914,0,0
20210915,0,0
20210916,0,0
20210917,0,0
20210918,0,0
20210919,0,0
20210920,1,0
20210921,1,0
20210922,1,0
20210923,0,0
20210924,0,0
20210925,0,0
20210926,0,0
20210927,0,0
20210928,0,0
20210929,0,0
20210930,0,0
20211001,0,0
20211002,0,0
20211003,0,1
20211004,0,1
20211005,0,0
20211006,0,0
20211007,0,0
20211008,0,0
20211009,0,1
20211010,0,0
20211011,0,1
20211012,0,0
20211013,0,0
20211014,0,0
20211015,0,0
20211016,0,0
20211017,0,0
20211018,0,0
20211019,0,0
20211020,0,0
20211021,0,0
20211022,0,0
20211023,0,0
20211024,0,0
20211025,0,0
20211026,0,0
20211027,0,0
20211028,0,0
20211029,0,0
20211030,0,0
20211031,0,0
20211101,0,0
20211102,0,0
20211103,0,0
20211104,0,0
20211105,0,0
20211106,0,0
20211107,0,0
20211108,0,0
20211109,0,0
20211110,0,0
20211111,0,0
20211112,0,0
20211113,0,0
20211114,0,0
20211115,0,0
20211116,0,0
20211117,0,0
20211118,0,0
20211119,0,0
20211120,0,0
20211121,0,0
20211122,0,0
20211123,0,0
20211124,0,0
20211125,0,0
20211126,0,0
20211127,0,0
20211128,0,0
20211129,0,0
20211130,0,0
20211201,0,0
20211202,0,0
20211203,0,0
20211204,0,0
20211205,0,0
20211206,0,0
20211207,0,0
20211208,0,0
20211209,0,0
20211210,0,0
20211211,0,0
20211212,0,0
20211213,0,0
20211214,0,0
20211215,0,0
20211216,0,0
20211217,0,0
20211218,0,0
20211219,0,0
20211220,0,0
20211221,0,0
20211222,0,0
20211223,0,0
20211224,0,0
20211225,0,1
20211226,0,0
20211227,0,0
20211228,0,0
20211229,0,0
20211230,0,0
20211231,0,0
20220101,1,0
20220102,0,0
20220103,0,0
20220104,0,0
20220105,0,0
20220106,0,0
20220107,0,0
20220108,0,0
20220109,0,0
20220110,0,0
20220111,0,0
20220112,0,0
20220113,0,0
20220114,0,0
20220115,0,0
20220116,0,0
20220117,0,0
20220118,0,0
20220119,0,0
20220120,0,0
20220121,0,0
20220122,0,0
20220123,0,0
20220124,0,0
20220125,0,0
20220126,0,0
20220127,0,0
20220128,0,0
20220129,0,0
20220130,0,0
20220131,1,0
20220201,1,0
20220202,1,0
20220203,0,0
20220204,0,0
20220205,0,0
20220206,0,0
20220207,0,0
20220208,0,0
20220209,0,0
20220210,0,0
20220211,0,0
20220212,0,0
20220213,0,0
20220214,0,0
20220215,0,0
20220216,0,0
20220217,0,0
20220218,0,0
20220219,0,0
20220220,0,0
20220221,0,0
20220222,0,0
20220223,0,0
20220224,0,0
20220225,0,0
20220226,0,0
20220227,0,0
20220228,0,0
20220301,0,1
20220302,0,0
20220303,0,0
20220304,0,0
20220305,0,0
20220306,0,0
20220307,0,0
20220308,0,0
20220309,0,1
20220310,0,0
20220311,0,0
20220312,0,0
20220313,0,0
20220314,0,0
20220315,0,0
20220316,0,0
20220317,0,0
20220318,0,0
20220319,0,0
20220320,0,0
20220321,0,0
20220322,0,0
20220323,0,0
20220324,0,0
20220325,0,0
20220326,0,0
20220327,0,0
20220328,0,0
20220329,0,0
20220330,0,0
20220331,0,0
20220401,0,0
20220402,0,0
20220403,0,0
20220404,0,0
20220405,0,0
20220406,0,0
20220407,0,0
20220408,0,0
20220409,0,0
20220410,0,0
20220411,0,0
20220412,0,0
20220413,0,0
20220414,0,0
20220415,0,0
20220416,0,0
20220417,0,0
20220418,0,0
20220419,0,0
20220420,0,0
20220421,0,0
20220422,0,0
20220423,0,0
20220424,0,0
20220425,0,0
20220426,0,0
20220427,0,0
20220428,0,0
20220429,0,0
20220430,0,0
20220501,0,0
20220502,0,0
20220503,0,0
20220504,0,0
20220505,0,1
20220506,0,0
20220507,0,0
20220508,0,1
20220509,0,0
20220510,0,0
20220511,0,0
20220512,0,0
20220513,0,0
20220514,0,0
20220515,0,0
20220516,0,0
20220517,0,0
20220518,0,0
20220519,0,0
20220520,0,0
20220521,0,0
20220522,0,0
20220523,0,0
20220524,0,0
20220525,0,0
20220526,0,0
20220527,0,0
20220528,0,0
20220529,0,0
20220530,0,0
20220531,0,0
20220601,0,1
20220602,0,0
20220603,0,0
20220604,0,0
20220605,0,0
20220606,0,1
20220607,0,0
20220608,0,0
20220609,0,0
20220610,0,0
20220611,0,0
20220612,0,0
20220613,0,0
20220614,0,0
20220615,0,0
20220616,0,0
20220617,0,0
20220618,0,0
20220619,0,0
20220620,0,0
20220621,0,0
20220622,0,0
20220623,0,0
20220624,0,0
20220625,0,0
20220626,0,0
20220627,0,0
20220628,0,0
20220629,0,0
20220630,0,0
20220701,0,0
20220702,0,0
20220703,0,0
20220704,0,0
20220705,0,0
20220706,0,0
20220707,0,0
20220708,0,0
20220709,0,0
20220710,0,0
20220711,0,0
20220712,0,0
20220713,0,0
20220714,0,0
20220715,0,0
20220716,0,0
20220717,0,0
20220718,0,0
20220719,0,0
20220720,0,0
20220721,0,0
20220722,0,0
20220723,0,0
20220724,0,0
20220725,0,0
20220726,0,0
20220727,0,0
20220728,0,0
20220729,0,0
20220730,0,0
20220731,0,0
20220801,0,0
20220802,0,0
20220803,0,0
20220804,0,0
20220805,0,0
20220806,0,0
20220807,0,0
20220808,0,0
20220809,0,0
20220810,0,0
20220811,0,0
20220812,0,0
20220813,0,0
20220814,0,0
20220815,0,1
20220816,0,0
20220817,0,0
20220818,0,0
20220819,0,0
20220820,0,0
20220821,0,0
20220822,0,0
20220823,0,0
20220824,0,0
20220825,0,0
20220826,0,0
20220827,0,0
20220828,0,0
20220829,0,0
20220830,0,0
20220831,0,0
20220901,0,0
20220902,0,0
20220903,0,0
20220904,0,0
20220905,0,0
20220906,0,0
20220907,0,0
20220908,0,0
20220909,1,0
20220910,1,0
20220911,1,0
20220912,1,0
20220913,0,0
20220914,0,0
20220915,0,0
20220916,0,0
20220917,0,0
20220918,0,0
20220919,0,0
20220920,0,0
20220921,0,0
20220922,0,0
20220923,0,0
20220924,0,0
20220925,0,0
20220926,0,0
20220927,0,0
20220928,0,0
20220929,0,0
20220930,0,0
20221001,0,0
20221002,0,0
20221003,0,1
20221004,0,0
20221005,0,0
20221006,0,0
20221007,0,0
20221008,0,0
20221009,0,1
20221010,0,1
20221011,0,0
20221012,0,0
20221013,0,0
